Robert_E_Lee_
COUNTA of feature_name,Symbol Type,,,,,,,,,,,,,,,
State,Body of Water,Bridge,Building,City,College,Commemorative License Plate,County/Municipality,Highway / Roadway,Holiday,Military Base,Monument,Other,Park,Roads,School,Grand Total
AL,,,,,,,1,10,1,,1,,,,2,15
AR,,,,,,,1,2,1,,1,,,,1,6
AZ,,,,,,,,1,,,,,,,,1
CA,,,,,,,,,,,,1,,,,1
DC,,,,,,,,,,,1,,,,,1
FL,,,1,,,,1,8,1,,1,1,1,,1,15
GA,,,,,,,,13,,,2,,,,,15
ID,1,,,1,,,,,,,,1,,,,3
KY,,,,,,,1,2,1,,,,,,,4
LA,,,,,,,,6,1,,1,,,,1,9
MO,,,,,,,,3,,,,,,,,3
MS,,,,,,,1,12,1,,,,,,1,15
NC,,,,,,,1,10,1,,2,,,,,14
NY,,,1,,,,,1,,,,,,,,2
OH,,,,,,,,1,,,,,,,,1
OK,,,,,,,,,,,,,1,,2,3
SC,,,,,,,1,12,,,3,,,,3,19
TN,,,,,,,,11,1,,,,,,,12
TX,,,1,1,1,,1,15,,,,,,,11,30
VA,,1,1,,,1,,21,,1,4,1,2,1,4,37
WA,,,,,,,,,,,,,,,1,1
WV,,,,,,,,4,,,,,,,,4
Grand Total,1,1,4,2,1,1,8,132,8,1,16,4,4,1,27,211
