Whose Heritage SF - Honoree Count (1)
COUNTA of feature_name,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honorees,AL,AR,AZ,CA,DC,DE,FL,GA,IA,ID,IN,KY,LA,MD,MO,MS,MT,NC,NM,NY,OH,OK,PA,SC,TN,TX,VA,WA,WV,Grand Total
A.P. Hill,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,6,,,11
Abram Ryan,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
Albert Pike,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3
Albert Sidney Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
Alexander P. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
Alexander Stephens,,,,,1,,,2,,,,,,,,,,,,,,,,,,1,,,,4
Alexander W. Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Alexander W. Terrell,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
Alfred Iverson,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Allen D. Chandler,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
Augustus C. Buchel,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
"Benjamin Franklin ""Frank"" Cheatham",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Benjamin Franklin Terry,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3
Benjamin Harvey Hill,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
Braxton Bragg,,,,1,,,,,,,,,1,,,1,,4,,,,,,2,1,,3,,,13
Cadmus M. Wilcox,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Champ Ferguson,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Charles C. Hemming,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
Charles Didier Dreux,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
Clement A. Evans,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
Clinton M. Winkler,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
Colton Greene,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Daniel Marsh Frost,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Daniel Smith Donelson,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
David Owen Dodd,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Delaney S. Washburn,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Earl Van Dorn,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,4
Edmund Kirby Smith,,,,,1,,,,,,,,2,,,1,,1,,,,,,,,,,,,5
Edmund Pettus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Edmund Rucker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Edward A. Perry,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Edward C. Bullock,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Eli Hamilton Janney,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Felix K. Zollicoffer,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
Francis A. Hendry,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
Francis H. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Francis Marion Cockrell,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Francis S. Bartow,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
Francis T. Nicholls,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3
Francis Wilkinson Pickens,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
Frank Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
George Anderson,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
George B. Erath,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
George Pickett,,1,,,,,,,,,,,,,,1,,3,,,,,,1,,1,4,1,,12
George R. Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
H. B. Grace,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
Henry A. Wise,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Henry Lawson Wyatt,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
Henry Lewis Benning,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
Henry Watkins Allen,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
Henry Wirz,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
Hiram Bronson Granbury,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
Horace Randal,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
J.J. Alfred A. Mouton,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
James Dearing,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,2
James Deshler,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"James Ewell Brown ""Jeb"" Stuart",1,1,,,,,1,5,,,,1,1,,,3,,4,,,1,,,5,3,4,18,,,48
James H. Clanton,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
James H. Trapier,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
James J. Archer,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
James Johnston Pettigrew,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
James Longstreet,1,,,,,,,1,,,,,,,,2,,,,,,,,3,2,,2,,,11
James McNair Baker,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
